wordKey,exp
"contest","She entered the contest just for fun, yet she came in first."
"convict","The man was convicted of arson and sent to jail."
"convict","She was convicted on pickpocket charges."
"festival","The Mid-Autumn festival is a traditional celebration in Chinese culture."
"garage","There was no more room in his garage that day."
"garage","He took the car to a garage to fix the problem."
"garage","They were in a garage, looking for a suitable car for their son's birthday."
"journalist","She used to be a journalist."
"pup","They found a pup near the well."
"qualify","After a few years of training, he managed to qualify as a lawyer."
"qualify","Completing the course will qualify you for a profession in programming."
"qualify","They qualified to be in the final match by beating their opponent."
"repair","They got a plumber to repair the pipes."
"repair","She called a handyman to get the deck repaired."
"repair","He told her not to worry, as it just needed a minor repair."
"repair","After the incident, it was in need of repair."
"repair","His device was so badly damaged that it was beyond repair."
"resume","They paused for a short while to have a snack, and then resumed studying."
"resume","The next day, they resumed work even earlier."
"rob","Someone tried to rob her on the street."
"rob","He robbed the store of five hundred dollars."
"slip","As he was walking, he stepped on a banana peel and slipped."
"slip","Take your steps cautiously here so you don't slip."
"slip","His backpack slipped off his shoulder, but he managed to grab it just in time."
"slip","They wanted to slip out of the party and do something fun together."
"slip","He realized that he forgot to give them the letter, so he tried to slip it into his bag."
"slip","At the party, somebody handed her a slip in a suspicious way."
"somewhat","She was somewhat angry about what happened."
"somewhat","They somewhat changed the procedure."
"stable","He checked the chair first to see if it was stable."
"stable","They confirmed that the patient was stable enough to be discharged from the psychiatric ward."
"stable","After she qualified, she got a more stable job."
"stable","Three stalls in the stable were empty."
"tissue","There was a box of tissue left on the floor."
"tissue","Our body can repair damaged tissue itself through a natural healing process."
"yard","Some kids were playing in the yard."
"yard","The backyard of his new house is about 22 yards."
"best","He just wants what's best for his daughter."
"best","It's best to consult with a lawyer first."
"card","Most customers pay their bills with a debit card."
"card","He forgot his membership card and couldn't go inside."
"crowd","A crowd of about one thousand people went to see the game."
"crowd","At the end of the conference, a crowd trickled out of the hall."
"day","It took a few days to finish the work."
"dish","He ordered a vegetarian dish at the restaurant."
"dish","She told them to keep room for the main dish."
"dish","There was a large dish of spaghetti on the table."
"easy","It was so easy that he could do it with one hand."
"easy","It's not easy being a single parent."
"easy","Dealing with a lot of bugs during development is no easy matter."
"experience","He experienced some dangerous situations that day."
"experience","It was the most painful feeling that he had ever experienced."
"experience","He had practical experience in software development."
"experience","In my experience, being lonely is better than having some stupid friends."
"experience","She didn't have enough experience for the job."
"experience","He learned how to code on his own by experience."
"hotel","They stayed in a luxury hotel near the beach."
"hotel","He was at the hotel when his friend called and broke the news."
"hour","It takes two hours from here to the hamlet."
"hour","She said she would be there in about an hour."
"light","Suddenly, a beam of light fell on his face."
"light","He asked him to turn off the light."
"market","They went to the market to pick up some fruit and vegetables."
"market","As a realtor, he had been working in the housing market for decades."
"market","They managed to make a big profit in the stock market."
"market","If you're in the market for a high-end laptop, it's probably the right time to buy one."
"market","There was a long line when they put their new smartphone on the market."
"market","The company wanted to target the young market."
"market","They conducted research to find out the needs of the domestic market."
"plan","She planned to surprise him for his birthday."
"plan","They planned how to spend the budget in the best way possible."
"plan","He wanted to know what was her plan for the evening."
"plan","If everything goes according to plan, we will finish the project by next week."
"price","At the auction, they were selling stuff for low prices."
"price","They bought a desk for a rock-bottom price."
"price","There was a sharp rise in the price of the product."
"price","The price of Bitcoin has soared in recent years."
"price","His house is priced at 1.2 million dollars."
"short","She was wearing a short skirt."
"short","It was a short but happy day they spent together."
"short","They were short of ingredients, so they had to improvise."
"short","Money was always in short supply in his family."
"shop","The shop was packed with potential customers."
"shop","On their way home, they stopped to shop for some groceries."
"station","He was looking for the nearest subway station."
"station","She was waiting at the bus station for her friend."
"surprise","His high grades in the final exams came as a surprise."
"surprise","To his surprise, she knew about the matter."
"surprise","They were looking at each other in surprise."
"surprise","He wanted to surprise his fiancee on the way back home."
"surprise","The teacher was surprised at how quickly he could learn."
"system","There was something wrong with the heating system in the apartment."
"system","The computer guy was looking into the system to find out about the problem."
"system","Taking cold showers boosts the immune system."
"taxi","He was a taxi driver, so he knew the city like the back of his hand."
"taxi","They took a taxi to the airport to visit their friend."
"bath","He took a bath and got ready for the party."
"bath","Monica ran a bath for Chandler and lit some candles to make it romantic."
"bathe","After work, they decided to bathe before going to bed."
"bend","He bent down to pick up the paper on the floor."
"bend","The coach told them to bend forward and touch their feet."
"bend","He used pliers to bend the pole."
"bend","There's a Chinese proverb that says: a single snowflake can bend the leaf of bamboo."
"chew","Before swallowing, the food should be chewed carefully."
"chew","She was chewing gum while texting her friend."
"chew","By chewing more, we can help digest easier and faster."
"disabled","The disabled man used a cane to walk around."
"fantastic","His ability to craft a weapon was fantastic."
"fantastic","They admired the fantastic view from the summit of the cliff."
"fiction","It was a fiction about a brave warrior who fought with bad people alone."
"flag","The flag has some yellow stars in it."
"flag","The flag was fluttering high above the ground."
"inspect","An agent paid a visit to their branch to inspect it."
"inspect","They had an electrician inspect the building."
"journal","She was reading a medical journal."
"liquid","The most important liquid on Earth is water."
"marvel","They stood on the mountain summit and marveled at the panoramic view."
"marvel","He marveled that they were so supportive of one another."
"marvel","His parents marveled at his virtuoso performance."
"marvel","It was a marvel to him how they could have so much strength."
"overcome","He had to overcome several obstacles in his twenties."
"overcome","The little boy was trying to overcome difficulties by himself."
"overcome","Eventually, she overcame her fear of talking in public."
"recall","He couldn't recall his name, which made him feel ashamed."
"recall","Suddenly, she recalled what she saw two years ago."
"recall","They recalled talking to each other in the past."
"regret","She regretted that she'd been acting selfishly and apologized to her parents."
"regret","He deeply regretted not studying while he was younger."
"regret","They showed regret for spending all the money."
"regret","Although he knew he was wrong, he was very arrogant and had no regret."
"soul","Some people are scared of the souls of dead people."
"sufficient","Two potatoes were sufficient for the dinner."
"sufficient","They didn't have a sufficient amount of bread to make sandwiches."
"sufficient","They didn't have sufficient evidence to convict him."
"surgery","He underwent a knee surgery after the accident."
"surgery","The surgery on her heart was successful."
"tough","There were a lot of tough questions in the exam, yet he passed without difficulty."
"tough","They had to make a tough decision without having much time."
"tough","It was a tough trip, and they had to stop several times to rest."
"tough","Despite numerous challenges and hard times, he remained tough and managed to achieve his goal."
"tough","Being a single parent is a tough job."
"tube","A tube in the garage had been leaking and made a small puddle."
"value","They bought something at the market that was of good value."
"value","His portrait had an immense value."
"value","Learning a second language has novelty value and is a unique experience."
"value","They sold the jewels to buy something with practical value."
"value","The dish isn't very delicious, but it has nutritional value."
"value","Her father's love was of great value to her."
"value","We should always value our parents for their effort."
"value","His sculpture was valued at one million dollars."
"atom","Carbon dioxide has one carbon atom and two oxygen atoms."
"atom","A molecule is made up of two or more atoms."
"beautiful","She bought a beautiful dress from the boutique."
"beautiful","It was such a beautiful scenery that they were marveled."
"breadth","The breadth of the area was about ten meters."
"breadth","The room was 8 meters in breadth."
"breadth","His breadth of knowledge was astonishing."
"comet","They were looking at the sky when they saw a comet."
"cover","She covered the dish with foil and put it in the oven."
"cover","He covered the ice cream with a layer of chocolate."
"cover","The backyard was covered in grass."
"cover","Most parts of the Earth are covered by water."
"cover","They were so poor at the time that they could barely cover the cost of rent."
"despair","They were in despair over all the materials they had ruined."
"despair","He was in a mood of despair at the time."
"despair","There was a sense of despair in the way they talked."
"despair","To her despair, they all had already gone."
"despair","The fact that they lost the game drove them to despair."
"despair","He was the despair of his parents after dropping out of school."
"form","They formed a team together."
"form","The kids formed a strange shape with sand."
"form","They put sand over Joey and formed him into a mermaid."
"form","A mermaid is a fictitious creature in the form of a half human, half fish."
"form","Jogging is a form of exercise."
"form","He sent the application form and waited to see if he could get the job."
"form","She asked him to fill out the form."
"fragment","There were fragments of glass all over the floor."
"fragment","When the bowl fell off the table, it fragmented into several pieces."
"fragment","My day is typically fragmented by studying English and programming."
"galaxy","There are numerous different galaxies in the cosmos."
"gloom","In the gloom of the morning, everything was barely visible."
"gloom","Despite the gloom of the situation, he remained tough and optimistic."
"gloom","As dark, menacing clouds gathered, the sky was in a state of gloom."
"gloom","Their cheerful demeanor turned into gloom when he broke the sad news to them."
"large","There was a very large house near the hill."
"large","They had a large amount of work to do that day."
"moon","The full Moon is when the Sun and the Moon are on opposite sides of the Earth."
"radiate","They set up fire to radiate heat."
"radiate","A ray of light was radiated from outside."
"radiate","The kids were radiating joy that night."
"roam","The cattle roamed around the farm all day."
"roam","The drunk man roamed on the streets."
"solitary","A solitary cup was left on the floor."
"solitary","There was a solitary figure in the jungle looking for something."
"spectrum","The entire spectrum can be seen in a rainbow."
"sphere","The kid was holding a plastic sphere in his palm."
"sphere","She converted a lump of clay into a sphere."
"star","There are billions of stars in outer space."
"star","Some bright stars were twinkling in the sky."
"status","Initially, his status was inferior to his colleagues."
"status","He was a man of high social status."
"status","They asked what their marital status was."
"ugly","The cottage was so ugly."
"ugly","He was as ugly as sin."
"accuse","They accused him of murder, but no one could prove it."
"accuse","He accused her of not working enough for the team."
"accuse","They stood accused of selling bogus goods."
"adjust","She adjusted the chair before sitting on it."
"adjust","The teacher was instructing them how to adjust their instrument."
"adjust","They had difficulty adjusting to living in an alien society."
"amuse","He put on a cartoon to amuse the kids."
"amuse","The actor amused the audience by telling jokes."
"coral","They saw some corals in the ocean while scuba diving."
"coral","He bought a coral bracelet for his girlfriend."
"coral","Her shawl was coral with strange patterns."
"cotton","She was wearing red cotton clothes."
"cotton","They export raw cotton to other countries."
"crash","Two cars crashed into each other on the highway."
"crash","She lost her control and crashed into him."
"crash","Suddenly, his computer crashed, and the screen went blank."
"deck","There were a few barrels of rum on the deck."
"deck","The captain and his assistant sat on the deck, trying to make a plan."
"engage","The whole family was engaged in the game."
"engage","The first few episodes didn't engage my interest, but it got better."
"engage","They engaged an IT guy to help them with the project."
"firm","The couch was quite firm."
"firm","The fruits on the tree were still firm."
"firm","They wanted to make sure that the planks were firm enough."
"firm","He had a firm handshake."
"firm","She was working in a firm of lawyers."
"fuel","They used wood as fuel to keep the house warm."
"fuel","He came up with a clever idea that would lower the fuel consumption."
"fuel","The burning of fossil fuels contributes heavily to climate change and global warming."
"grand","She had several grand ideas."
"grand","The Grand Canyon was very spectacular."
"grand","They spent around 5 grand during vacation."
"hurricane","The village was going to be hit by a hurricane."
"hurricane","The hurricane blew down several fences that day."
"loss","There were substantial job losses when the company shut down."
"loss","She suffered from hearing loss in her sixties."
"loss","He suffered a great loss while gambling."
"plain","She was wearing a plain cotton dress to the party."
"plain","He tried to make it as plain as possible so that the students could easily understand the subject."
"reef","The ship hit a coral reef and got stuck."
"reef","As the tide receded, the reef became visible."
"shut","She asked her friend to shut the window."
"shut","He asked her to shut her eyes because he wanted to surprise her."
"shut","The factory was shut down after failing to meet safety regulations."
"strict","The principal was very strict with students about the rules."
"strict","They enforced strict laws to reduce the crime rate."
"strict","A strict curfew had been imposed so ordinary people wouldn't go out at midnight."
"strict","They made a pact to keep the information in strict secrecy."
"strict","The project wasn't ""complete"" in the strict sense of the word, but it was functional enough."
"strict","Although he was called a genius, in a strict sense of the term, his achievements were the end result of hard work and dedication."
"surf","Let's go surfing in the ocean, shall we?"
"surf","He was surfing the web, trying to gather information on the subject."
"task","She gave each one a task for the day."
"task","The couple had a daunting task of dealing with their children."
"task","His computer was so old that it could barely perform simple tasks."
"zone","They designated the whole area a danger zone."
"zone","The council established a zone only for staff."
"apology","He wrote his friend an apology for all the trouble he had made."
"apology","She made an apology to her parents for behaving that way."
"apology","I owe you an apology for judging you."
"bold","He was bold enough to fight with the champion."
"bold","They took the bold step to climb Mount Everest."
"bold","He made the bold move of quitting his job and embarking on a new career."
"bold","Important words are written in bold."
"bug","The spider made a web to capture some bugs to eat."
"bug","There was a bug that was causing the application to crash."
"capture","They managed to capture two giraffes for research."
"capture","He wanted to capture their argument on film for fun."
"capture","His live performance at the square captured their attention."
"duke","The duke hosted an extravagant party."
"expose","She pulled aside the drape to expose the room to sunlight."
"expose","We should expose ourselves to English more."
"expose","Data breach can expose sensitive customer information to hackers."
"guilty","They felt guilty about not telling the truth."
"guilty","She had a guilty conscience that had been weighing on her."
"guilty","They were summoned to court to determine if they were guilty or innocent of the crime."
"hire","We ought to hire someone to fix the roof."
"innocent","His lawyer managed to prove him innocent in the last trial."
"innocent","She claimed that she was innocent of the crime."
"innocent","The innocent kids were just walking on the street."
"innocent","He had an innocent outlook, assuming that everyone was honest with him."
"language","They were speaking a foreign language."
"minister","The prime minister announced a new policy regarding the issue of climate change."
"minister","The minister of education represented a new method of teaching."
"minister","The health minister banned the use of some drugs."
"minister","The minister was baptizing the newborn baby."
"ordinary","Ordinary people were walking around the market."
"ordinary","They went for a gentle stroll in the park on an ordinary day."
"permanent","It wasn't a permanent job, so he tolerated the long distance he had to commute."
"permanent","She went on a strict diet and made a permanent change."
"preserve","Having a good balance of work and rest is necessary to preserve one's sanity."
"preserve","We ought to regularly review to preserve our English knowledge."
"preserve","They used a chemical to preserve the wall."
"pronounce","We have to practice how to pronounce words apart from memorizing their meanings."
"resemble","The baby resembled his father closely."
"resemble","The kids made the yard resemble a jungle."
"symptom","What are the symptoms of syphilis?"
"symptom","Sneezing, runny nose, and a high fever are symptoms of the cold."
"tobacco","Tobacco in cigarettes has a destructive effect on health."
"twin","They were twins, which made it almost impossible to tell them apart."
"witch","The witch cursed their farm for a period of three years."
"accompany","He accompanied her to her dormitory."
"accompany","The dish was accompanied by salad and olives."
"bare","They walked on the grass in bare feet."
"bare","While traveling, I typically just take the bare essentials."
"bare","They only had the bare minimum and had to improvise for the rest of their needs."
"branch","Two monkeys were hanging from a branch."
"branch","Psychology is a branch of medicine."
"branch","They frequently monitored the local branches to ensure high quality."
"breath","He was out of breath and almost drowned."
"breath","She was short of breath because she had been running."
"breath","He slowed down for a few seconds to catch his breath, then continued running."
"breath","Whenever you're nervous, try taking a deep breath and empty your mind."
"bridge","The bridge had been destroyed, so they couldn't pass."
"bridge","He tried to bridge the gap between the two families."
"bridge","Education can help bridge the gulf between different cultures."
"cast","She cast a pen for him, but he missed it."
"cast","They were casting stones in the lake."
"cast","The tree branches cast a shadow on the ground that scared the kids."
"cast","The director cast some famous actors for the movie."
"cast","The cast of actors was rehearsing their scripts."
"cast","His arm was in a cast for two weeks."
"dare","He finally dared to skydive from the plane."
"dare","They couldn't dare to criticize Monica for being so obsessed about cleaning her apartment."
"dare","""Don't you dare go without me,"" she said."
"dare","How dare you talk to me like that."
"electronic","Electronic devices need to be charged every so often."
"electronic","He played electronic music in the band."
"inn","They found an inn to stay the night."
"net","They caught a bird using a net."
"net","A school of fish was tangled in the net."
"philosophy","It's a good philosophy to treat people as you would like to be treated."
"philosophy","She studied philosophy in college."
"pot","She put some spaghetti into the boiling water in the pot."
"pot","Be careful with the pot; it's so hot."
"seed","The farmer planted some seeds in the fertile soil."
"seed","He sowed some seeds and watered them."
"seed","After a while, the seeds started to sprout."
"sharp","She was looking for a sharpener because her pencil wasn't sharp enough."
"sharp","The knife was blunt, so he used a tool to make it sharp."
"sort","What sort of music do you usually listen to?"
"sort","They saw all sorts of animals at the zoo."
"sort","She was making a dessert of some sort."
"sort","Plants of that sort grow in mountainous areas."
"sort","Parties weren't Sheldon's sort of fun."
"sort","A stationery is a store that sells pens, notebooks and that sort of thing."
"sort","The librarian sorted the books into different categories based on their genres."
"sort","He asked his secretary to sort the files by date so that he could find the latest one easier."
"subtract","If we subtract three from ten, we have seven."
"subtract","The teacher taught the pupils how to subtract numbers."
"tight","The knot was so tight that he couldn't untie it."
"tight","The lid on the bottle was very tight."
"virtual","Their performance was a virtual masterpiece."
"virtual","He had the virtual amount of money he always needed."
"virtual","They are making some virtual reality glasses."
"virtual","I like to have my virtual desktop well organized and clean."
"virtual","Apps like Google Meet are used for virtual meetings."
"weigh","She weighed herself to see how much her diet was effective."
"weigh","The fruit he bought weighed about four kilograms."
"weigh","Before making a decision, we should weigh up all the options."
"whisper","He whispered softly that he was in love with her."
"whisper","The thieves whispered to avoid being heard."
"abstract","Apart from concrete nouns, there are also abstract nouns."
"abstract","Truth and lie are abstract nouns."
"annual","The company's annual turnover was about two billion dollars."
"annual","He gave the firm his annual report."
"annual","An anniversary is an annual event that is celebrated by married couples."
"clay","He made some pottery with clay."
"cloth","Her dress was made from plain cotton cloth."
"cloth","He grabbed a piece of cloth and wiped the dust off the window."
"curtain","She drew the curtain to let in some light."
"deserve","The kid behaved well and deserved an ice cream."
"deserve","They hoped the judge would give the punishment the criminal deserved."
"deserve","He had been training hard, so now he deserved to win."
"feather","The bird's feathers were dark blue."
"fertile","He had a fertile garden in his backyard, but it was left idle."
"flood","There was a flood after such torrential rain."
"flood","The little kid was in floods of tears when his toy broke."
"flood","The washing machine broke and flooded the kitchen."
"flood","People were flooding into the stadium to watch the game."
"flood","Strong wind made dust flood in the room through the window."
"flood","They were flooded with sorrow after his death."
"furniture","The only items of furniture he had was a table and two chairs."
"furniture","They had some antique furniture in their living room."
"grave","They pay a visit to their father's grave every year."
"ideal","It was the ideal opportunity for him to ask her out."
"ideal","If it were an ideal world, there would be no crime, and no one would be hungry."
"ideal","They found the ideal person for the position."
"intelligence","Due to his high intelligence, he learned the job very quickly."
"obtain","Petroleum is obtained by extracting it from the ground."
"obtain","After a lot of hard work, he obtained a brilliant career."
"obtain","He decided not to waste time anymore and obtain knowledge as much as possible."
"religious","Monks and nuns are religious people."
"romantic","They watched a romantic movie together."
"shell","The little girl collected some shells from the beach."
"shell","Some nuts have very hard shells."
"shell","The tortoise goes into its shell when it's alarmed."
"shore","A few boats were floating near the shore."
"shore","They walked along the shore, talking about their children."
"wheel","There was a car that had six wheels instead of four."
"wooden","There was a wooden fence around the patio."
"appliance","There were some appliances in the kitchen."
"basin","The basin was filled with water."
"broom","She took a broom and swept the floor."
"caterpillar","The caterpillar was eating leaves."
"cupboard","He put the cereal in the cupboard."
"delicate","The newborn baby was so delicate."
"delicate","The surgeon performed a delicate operation on his mind."
"delicate","Negotiating a peace treaty was a delicate task."
"emerge","A rabbit emerged from a hole and hopped away."
"emerge","She emerged from behind a tree and surprised him."
"emerge","During the investigation, new evidence began to emerge, casting light on the case."
"emerge","After a few days, the truth about the incident finally emerged."
"handicap","He had a slight handicap that kept him from running."
"hole","There was a hole in the wall that let him cross."
"hole","The farmer dug a few holes and sowed the seeds."
"hook","The fisherman put a worm on a hook and cast it into the lake."
"hook","He hung his jacket on a hook once he got home."
"hop","The kids were hopping around as if they were kangaroos."
"laundry","She did the laundry before going shopping."
"pursue","The police pursued the robbers and caught them after a few miles."
"pursue","The tiger pursued its prey."
"pursue","She was trying to pursue a career as an actress."
"pursue","He taught his son to never give up pursuing his dreams."
"reluctant","The kids were reluctant to say what happened."
"reluctant","They were reluctant to clean the yard, but they had to do it anyway."
"sleeve","She rolled up her sleeves to avoid getting dirty."
"sleeve","He was wearing a sleeveless shirt."
"spine","We should keep our spine straight and not hunch."
"spine","She had an accident and injured her spine."
"stain","He spilled the juice and made a stain on his shirt."
"stain","They sat on the wet grass, and when they stood up, they both had stains on their pants."
"stain","She knocked over some coffee and stained the carpet."
"stain","Be careful not to stain your hands with ink."
"stain","The scandal stained their reputation."
"strip","They walked carefully on a narrow strip of land."
"strip","You should swipe the card through the device on the magnetic strip."
"strip","They stripped the paint from the walls before applying a fresh coat."
"strip","He went to strip some bark off a tree for his woodworking project."
"strip","The corrupt official was stripped of his position after his abuse of power."
"swear","She swore that she didn't know what had happened."
"swear","He has sworn to improve his English."
"swear","They swore to secrecy about the matter."
"swear","The knight had sworn an oath to protect his king and queen."
"swear","They were swearing at each other during the fight."
"swing","He swung the golf club and hit the ball forcefully."
"swing","There were swings and slides in the playground."
"acre","The farm was about one hundred acres."
"afterlife","Some people believe in the afterlife, while others don't."
"archaeology","His favorite branch of study was archaeology."
"archaeology","He studied archaeology at university."
"archaeological","It became a site of archaeological interest."
"chamber","The meeting was held in the council chamber."
"chamber","His studio was a small chamber filled with papers and books."
"channel","Some boats were passing through the narrow channel."
"channel","The irrigation channel helped the farmers provide their lands with water."
"channel","He grabbed the remote control to change the channel to something more fun."
"channel","We should channel our energy into the project instead of goofing around."
"core","She cut the seeds at the apple core and threw them on the ground."
"core","Not having enough resources was at the core of their problem."
"corridor","Their room was at the end of the corridor."
"corridor","Take the corridor on the right, and you will see the lounge."
"distinct","Those dog breeds are very distinct."
"distinct","The two brothers were distinct from each other."
"elite","The political elite gathered in a chamber to discuss the issue."
"elite","The group was made up of elite members."
"elite","He was a member of an elite group of scientists."
"engineer","She was studying to become a structural engineer."
"engineer","He works as a software engineer."
"engineer","They were trying to engineer a robot."
"engineer","The rebels engineered a coup to overthrow the government."
"gap","They had to leap the gap between two cliffs."
"gap","He had a gap between his teeth."
"glory","They marveled at the glory of the view."
"glory","They restored the fort to its former glory."
"interior","There was nothing in the interior of the box."
"interior","The interior of the car was spacious."
"lion","A pride of lions sat around a tree."
"role","Her role in the firm was to guide clients."
"role","He was playing the role of a servant in the show."
"royal","The royal family had gone to a nearby village for vacation."
"sole","She was the sole person in the warehouse."
"sole","He was the sole survivor of the accident."
"sole","A small thorn cut into her sole and made her cry."
"surface","He cleaned the surface of the table before painting it."
"surface","On the surface, he's a fine guy. But as you get to know him, you realize how mean he actually is."
"surface","After a few minutes, her anger rose to the surface."
"agreement","They finally reached an agreement on what to do about the matter."
"agreement","He was in agreement with her about the plan."
"arise","Everything was fine until a problem arose."
"arise","A great opportunity arose that made it possible for them to live in America."
"benefactor","He was the benefactor of several orphans."
"blacksmith","The blacksmith was pounding on the sword in the forge."
"chimney","Smoke was coming from the chimney, so they thought someone was in the house."
"compensate","The judge said he had to compensate the victim."
"compensate","His manager compensated him for the extra work he had done."
"encounter","On their trip, they encountered a kangaroo."
"encounter","His proposal encountered opposition during the meeting."
"encounter","The company encountered difficulties during the recession."
"encounter","She described the encounter with her favorite actor as her most delightful experience."
"encounter","The brief encounter between them led to a lifelong friendship."
"exceed","The money they needed would exceed the budget."
"exceed","She exceeded the speed limit and was stopped by a police officer."
"forge","They forged a close bond during the course."
"forge","She needed someone to forge a signature for her."
"forge","He forged a famous painting and sold it at a very high price."
"humble","He was humble about his skills."
"humble","Being humble is a good virtue that everyone needs to work on."
"humble","He warmly welcomed them and said, ""Welcome to my humble abode."""
"iron","The blacksmith made a shield from iron."
"iron","His doctor prescribed him some supplement for his iron deficiency."
"ladder","He fell off a ladder and broke his arm."
"modest","Despite his impressive achievement, he was modest about it and never boasted."
"modest","He was a modest person who knew a lot about his career."
"modest","She grabbed a modest portion of the cake, as she was on a diet."
"modest","They lived in a modest house on the outskirt."
"occupy","All the gazebos in the park were occupied."
"occupy","No one had occupied the house for years."
"occupy","The seats were occupied by people, so he gave his place to an elderly."
"occupy","Her weekend was occupied with the homework her teacher had assigned."
"occupy","Sheldon would much prefer to occupy himself with scientific stuff."
"penny","There was a penny on the floor."
"penny","The candy cost him twenty pence."
"preach","The priest preached to the people in the church."
"preach","She preached about the importance of forgiveness."
"prosper","If you want to prosper, quit working for money and work on yourself."
"prosper","After a few years, their business prospered, and they took on extra workers."
"province","China consists of 23 provinces."
"province","They traveled across several provinces to explore different parts of the country."
"satisfaction","Her parents were filled with satisfaction when they saw her grades."
"satisfaction","Job satisfaction is prior to salary for some people."
"satisfaction","It's difficult now, but when we finish our study, we'll have the satisfaction of knowing that we've done the right thing."
"sustain","She proposed a great idea to sustain the company's power with less expense."
"sustain","He couldn't sustain his relationship with her anymore."
"sustain","During the apocalypse, they didn't have enough food to sustain everyone."
"sustain","The building sustained severe damage during the earthquake."
"sustain","They sustained heavy financial losses during the economic recession."
"sustain","Her kindness and encouragement sustained him during those dark days."
"acquire","He was wearing a recently acquired coat."
"acquire","On the way back home, I lost my newly-acquired headphones."
"acquire","You need to acquire more knowledge if you want to land a fulfilling job."
"acquire","After his masterpiece, he acquired a reputation in the field of software engineering."
"awkward","He raised an awkward question that his teacher couldn't answer."
"awkward","She had an awkward accent that made her difficult to be understood."
"awkward","He forgot his name and felt awkward."
"awkward","They didn't know what to talk about in that awkward moment."
"awkward","It was such an awkward situation, as no one knew how to deal with the issue."
"awkward","There was an awkward silence when he farted."
"caretaker","Her caretaker had gone out to get something for her."
"deceive","He deceived them with a classic trick."
"deceive","The witch deceived them into going there."
"discourage","They discouraged him from quitting his job."
"discourage","The fact that only two of the candidates would get the position discouraged him from applying."
"fake","He made up a fake story to deceive them."
"fake","It was a fake wig, not his actual hair."
"fake","He bought a necklace, but later realized it was a fake."
"fake","She didn't want to get involved, so she faked a headache."
"hatred","She had a great hatred for her aunt."
"hatred","There was a deep-rooted hatred between the two tribes."
"hut","There was a hut in the mountains."
"inferior","The fruit he bought from the market was inferior to what she got."
"inferior","He'd been regarded as intellectually inferior until he invented that machine."
"lodge","The gardener had been living in a lodge."
"lodge","She lodged a complaint against the firm for unfair treatment."
"lodge","He lodged a claim for compensation because of the accident."
"neglect","They neglected the ground, which is why the car stuck in the mud."
"neglect","Someone stole his suitcase because he neglected it."
"neglect","She neglected her son, and he was about to fall into the ocean."
"neglect","He neglected to write the last piece of assignment."
"newcomer","The newcomer felt lonely in the new school until he met her."
"offense","He committed an offense that led to his imprisonment."
"offense","She was convicted of a serious offense."
"offense","They were charged with a serious offense and had to appear in court."
"offense","He inadvertently caused great offense to the guests."
"overlook","She overlooked her step and almost fell off the bus."
"overlook","While writing, it's easy to overlook minor spelling errors."
"overlook","The balcony in their room overlooked the ocean."
"repay","She told her friend that she would repay in a month."
"repay","He wanted to repay them for all their kindness."
"ridiculous","It seemed like a ridiculous idea to him."
"ridiculous","She looked ridiculous in that dress."
"satisfactory","After all his hard work, he got a highly satisfactory job."
"satisfactory","Her grades were satisfactory due to her dedication."
"shepherd","The shepherd led the sheep down the hill."
"venture","Together, they decided to venture into the unknown."
"venture","Despite the bad weather, the captain decided to venture forth into the ocean."
"venture","His first business venture failed, but he learned valuable lessons that helped him succeed later."
"wheat","He had a large field of wheat that was ready to be harvested."
"alley","The alley was very dark, making it difficult to see his way."
"ax","He used an ax to cut some wood."
"bunch","A bunch of people were standing in a line."
"bunch","There was a bunch of bananas on the counter."
"chore","She had some chores to do before going out."
"decent","She made a decent meal for her friends."
"decent","If you want a decent table, you have to spend more."
"decent","He'd been taking a bath and wasn't decent yet."
"disgraceful","She displayed disgraceful behavior toward her parents."
"disgraceful","It's disgraceful that they can get away with anything by throwing money at it."
"elbow","She fell from the bike and injured her elbow."
"elbow","There was a stain on his shirt at the elbow."
"grateful","They were grateful to their parents for all the good things they had done."
"grateful","After that accident, they felt grateful to be alive."
"grateful","She was grateful that she could pass the exam."
"irritate","His disgraceful conduct irritated them."
"irritate","It irritated him that his friend was half an hour late."
"kid","They were kidding about the way he talked."
"kid","There were a bunch of kids playing in the alley."
"kid","He needed help from his kid brother."
"kid","When he walked into the tech store, he was like a kid in a candy store, inspecting almost every gadget."
"loose","All the photos and drawings were hanging loose after the earthquake."
"loose","The shelf was unstable because one of the screws was loose."
"offend","He offended them by calling them old."
"offend","They were offended that they didn't invite them."
"offend","The judge told him that if he offended again, he would find himself in jail."
"overnight","She crammed her book overnight."
"overnight","During their journey, they slept in a tent overnight."
"overnight","It was an overnight trip they had to take."
"persist","If the pain persists, you should go to the doctor."
"persist","The dark clouds persisted for several hours."
"persist","He couldn't understand the concept, but he persisted until he learned it."
"persist","She persisted with the work and finally finished it."
"persist","They persisted in searching for the treasure but didn't find anything valuable."
"pine","The squirrel went up a pine tree."
"scar","The accident gave him a scar on his face."
"sensation","He had a minor sensation of pain in his knee."
"sensation","After the tranquilizer, he had no sensation of pain whatsoever."
"sensation","Being with each other on that magical day was such a wonderful sensation."
"sled","They rode a sled down the hill together."
"tease","They were teasing the newcomer."
"tease","He hated to be teased about his poor family."
"valentine","He asked her to be his valentine."
"acquaint","She sat on a chair and tried to acquaint herself with the guitar."
"acquaint","He acquainted his new colleague with the project."
